,i,Ω,ω
S1,119.14,342.04,122.3
S2,134.18,226.94,65.51
S4,80.33,258.84,290.8
S6,87.24,85.07,116.23
S8,74.37,315.43,346.7
S9,82.41,156.6,150.6
S12,33.56,230.1,317.9
S13,24.7,74.5,245.2
S14,100.59,226.38,334.59
S17,96.83,191.62,326.0
S18,110.67,49.11,349.46
S19,71.96,344.6,155.2
S21,58.8,259.64,166.4
S22,105.76,291.7,95.0
S23,48.0,249.0,39.0
S24,103.67,7.93,290.0
S29,105.8,161.96,346.5
S31,109.03,137.16,308.0
S33,60.5,100.1,303.7
S38,171.1,101.06,17.99
S39,89.36,159.03,23.3
S42,67.16,196.14,35.8
S54,62.2,288.35,140.8
S55,150.1,325.5,331.5
S60,126.87,170.54,29.37
S66,128.5,92.3,134.0
S67,136.0,96.5,213.5
S71,74.0,35.16,337.8
S83,127.2,87.7,203.6
S85,84.78,107.36,156.3
S87,119.54,106.32,336.1
S89,87.61,238.99,126.4
S91,114.49,105.35,356.4
S96,126.36,115.66,233.6
S97,113.0,113.2,28.0
S111,102.68,52.34,132.4
S145,83.7,263.92,185.0
S175,88.53,326.83,68.52
R34,136.0,330.0,57.0
R44,131.0,80.5,217.0
